Handle,SKU,Canonical Product ID,pd_no,Available,Inventory Policy,Reason
vt-super-hyalon-sleeping-mask-4ml-6ea,CP000109,CP000109,1049285,0,deny,실재고 사람 입력 전 판매 차단
vonsep-retinol-500-iu-serum-30-ml,CP000130,CP000130,1055167,0,deny,실재고 사람 입력 전 판매 차단
celderma-daily-transforming-firming-collagen-mask-28g,CP000151,CP000151,1059834,0,deny,실재고 사람 입력 전 판매 차단
vt-pdrn-radiance-cream-50-ml,CP000216,CP000216,1067498,0,deny,실재고 사람 입력 전 판매 차단
celderma-daily-pdrn-radiance-cream-wrapping-mask-1ea,CP000270,CP000270,1075857,0,deny,실재고 사람 입력 전 판매 차단
vt-reedle-shot,CP000106-RS-100,CP000106,1049275,0,deny,실재고 사람 입력 전 판매 차단
vt-reedle-shot,CP000107-RS-300,CP000107,1049276,0,deny,실재고 사람 입력 전 판매 차단
