Collection Handle,Collection Title,Product Handle,Canonical Product IDs,Published
shopify-ready-s,Shopify Ready S Grade,celderma-daily-collagen-essence-gel-mask-29g,CP000075,FALSE
shopify-ready-s,Shopify Ready S Grade,vt-super-hyalon-sleeping-mask-4ml-6-pack,CP000109,FALSE
shopify-ready-s,Shopify Ready S Grade,vonsep-retinol-500-iu-serum-30-ml,CP000130,FALSE
shopify-ready-s,Shopify Ready S Grade,celderma-daily-transforming-firming-collagen-mask-28g,CP000151,FALSE
shopify-ready-s,Shopify Ready S Grade,vt-pdrn-radiance-cream-50-ml,CP000216,FALSE
shopify-ready-s,Shopify Ready S Grade,bonsep-retinol-firming-body-guasha-serum-100ml,CP000251,FALSE
shopify-ready-s,Shopify Ready S Grade,celderma-daily-pdrn-radiance-cream-wrapping-mask-1ea,CP000270,FALSE
shopify-ready-s,Shopify Ready S Grade,vt-reedle-shot,CP000107|CP000106,FALSE
